id,pretty_link,country
350029,"<div><a href=""/places/default/view/Afghanistan-1""><img src=""/places/static/images/flags/af.png"" /> Afghanistan</a></div>",Afghanistan
350030,"<div><a href=""/places/default/view/Aland-Islands-2""><img src=""/places/static/images/flags/ax.png"" /> Aland Islands</a></div>",Aland Islands
350031,"<div><a href=""/places/default/view/Albania-3""><img src=""/places/static/images/flags/al.png"" /> Albania</a></div>",Albania
350032,"<div><a href=""/places/default/view/Algeria-4""><img src=""/places/static/images/flags/dz.png"" /> Algeria</a></div>",Algeria
350033,"<div><a href=""/places/default/view/American-Samoa-5""><img src=""/places/static/images/flags/as.png"" /> American Samoa</a></div>",American Samoa
350034,"<div><a href=""/places/default/view/Andorra-6""><img src=""/places/static/images/flags/ad.png"" /> Andorra</a></div>",Andorra
350035,"<div><a href=""/places/default/view/Angola-7""><img src=""/places/static/images/flags/ao.png"" /> Angola</a></div>",Angola
350036,"<div><a href=""/places/default/view/Anguilla-8""><img src=""/places/static/images/flags/ai.png"" /> Anguilla</a></div>",Anguilla
350037,"<div><a href=""/places/default/view/Antarctica-9""><img src=""/places/static/images/flags/aq.png"" /> Antarctica</a></div>",Antarctica
350038,"<div><a href=""/places/default/view/Antigua-and-Barbuda-10""><img src=""/places/static/images/flags/ag.png"" /> Antigua and Barbuda</a></div>",Antigua and Barbuda
350039,"<div><a href=""/places/default/view/Argentina-11""><img src=""/places/static/images/flags/ar.png"" /> Argentina</a></div>",Argentina
350040,"<div><a href=""/places/default/view/Armenia-12""><img src=""/places/static/images/flags/am.png"" /> Armenia</a></div>",Armenia
350041,"<div><a href=""/places/default/view/Aruba-13""><img src=""/places/static/images/flags/aw.png"" /> Aruba</a></div>",Aruba
350042,"<div><a href=""/places/default/view/Australia-14""><img src=""/places/static/images/flags/au.png"" /> Australia</a></div>",Australia
350043,"<div><a href=""/places/default/view/Austria-15""><img src=""/places/static/images/flags/at.png"" /> Austria</a></div>",Austria
350044,"<div><a href=""/places/default/view/Azerbaijan-16""><img src=""/places/static/images/flags/az.png"" /> Azerbaijan</a></div>",Azerbaijan
350045,"<div><a href=""/places/default/view/Bahamas-17""><img src=""/places/static/images/flags/bs.png"" /> Bahamas</a></div>",Bahamas
350046,"<div><a href=""/places/default/view/Bahrain-18""><img src=""/places/static/images/flags/bh.png"" /> Bahrain</a></div>",Bahrain
350047,"<div><a href=""/places/default/view/Bangladesh-19""><img src=""/places/static/images/flags/bd.png"" /> Bangladesh</a></div>",Bangladesh
350048,"<div><a href=""/places/default/view/Barbados-20""><img src=""/places/static/images/flags/bb.png"" /> Barbados</a></div>",Barbados
350049,"<div><a href=""/places/default/view/Belarus-21""><img src=""/places/static/images/flags/by.png"" /> Belarus</a></div>",Belarus
350050,"<div><a href=""/places/default/view/Belgium-22""><img src=""/places/static/images/flags/be.png"" /> Belgium</a></div>",Belgium
350051,"<div><a href=""/places/default/view/Belize-23""><img src=""/places/static/images/flags/bz.png"" /> Belize</a></div>",Belize
350052,"<div><a href=""/places/default/view/Benin-24""><img src=""/places/static/images/flags/bj.png"" /> Benin</a></div>",Benin
350053,"<div><a href=""/places/default/view/Bermuda-25""><img src=""/places/static/images/flags/bm.png"" /> Bermuda</a></div>",Bermuda
350054,"<div><a href=""/places/default/view/Bhutan-26""><img src=""/places/static/images/flags/bt.png"" /> Bhutan</a></div>",Bhutan
350055,"<div><a href=""/places/default/view/Bolivia-27""><img src=""/places/static/images/flags/bo.png"" /> Bolivia</a></div>",Bolivia
350056,"<div><a href=""/places/default/view/Bonaire-Saint-Eustatius-and-Saba-28""><img src=""/places/static/images/flags/bq.png"" /> Bonaire, Saint Eustatius and Saba</a></div>","Bonaire, Saint Eustatius and Saba"
350057,"<div><a href=""/places/default/view/Bosnia-and-Herzegovina-29""><img src=""/places/static/images/flags/ba.png"" /> Bosnia and Herzegovina</a></div>",Bosnia and Herzegovina
350058,"<div><a href=""/places/default/view/Botswana-30""><img src=""/places/static/images/flags/bw.png"" /> Botswana</a></div>",Botswana
350059,"<div><a href=""/places/default/view/Bouvet-Island-31""><img src=""/places/static/images/flags/bv.png"" /> Bouvet Island</a></div>",Bouvet Island
350060,"<div><a href=""/places/default/view/Brazil-32""><img src=""/places/static/images/flags/br.png"" /> Brazil</a></div>",Brazil
350061,"<div><a href=""/places/default/view/British-Indian-Ocean-Territory-33""><img src=""/places/static/images/flags/io.png"" /> British Indian Ocean Territory</a></div>",British Indian Ocean Territory
350062,"<div><a href=""/places/default/view/British-Virgin-Islands-34""><img src=""/places/static/images/flags/vg.png"" /> British Virgin Islands</a></div>",British Virgin Islands
350063,"<div><a href=""/places/default/view/Brunei-35""><img src=""/places/static/images/flags/bn.png"" /> Brunei</a></div>",Brunei
350064,"<div><a href=""/places/default/view/Bulgaria-36""><img src=""/places/static/images/flags/bg.png"" /> Bulgaria</a></div>",Bulgaria
